pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj195,Ferranti Argus Page 11,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_11,,194,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj195/full/250,/0/default.jpg",/img/derivatives/iiif/obj195/manifest.json
obj196,Ferranti Argus Page 12,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_12,,195,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj196/full/250,/0/default.jpg",/img/derivatives/iiif/obj196/manifest.json
obj197,Ferranti Argus Page 13,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_13,,196,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj197/full/250,/0/default.jpg",/img/derivatives/iiif/obj197/manifest.json
obj198,Ferranti Argus Page 14,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_14,,197,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj198/full/250,/0/default.jpg",/img/derivatives/iiif/obj198/manifest.json
obj199,Ferranti Argus Page 15,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_15,,198,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj199/full/250,/0/default.jpg",/img/derivatives/iiif/obj199/manifest.json
obj200,Ferranti Orion Page 1,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_01,,199,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj200/full/250,/0/default.jpg",/img/derivatives/iiif/obj200/manifest.json
obj3,Faces Amid Wires,,1976,70s,,photo,CompAge_EvolIBM_1978,The Computer Age: The Evolution of IBM Computers,2,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj21,Bendix G15 Page 11,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_11,,20,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/obj21/manifest.json
obj201,Ferranti Orion Page 2,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_02,,200,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj201/full/250,/0/default.jpg",/img/derivatives/iiif/obj201/manifest.json
obj202,Ferranti Orion Page 3,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_03,,201,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj202/full/250,/0/default.jpg",/img/derivatives/iiif/obj202/manifest.json
obj203,Ferranti Orion Page 4,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_04,,202,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj203/full/250,/0/default.jpg",/img/derivatives/iiif/obj203/manifest.json
obj204,Ferranti Orion Page 5,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_05,,203,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj204/full/250,/0/default.jpg",/img/derivatives/iiif/obj204/manifest.json
obj205,Ferranti Orion Page 6,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_06,,204,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj205/full/250,/0/default.jpg",/img/derivatives/iiif/obj205/manifest.json
obj206,Ferranti Orion Page 7,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_07,,205,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj206/full/250,/0/default.jpg",/img/derivatives/iiif/obj206/manifest.json
obj207,Ferranti Orion Page 8,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_08,,206,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj207/full/250,/0/default.jpg",/img/derivatives/iiif/obj207/manifest.json
obj208,Ferranti Orion Page 9,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_09,,207,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj208/full/250,/0/default.jpg",/img/derivatives/iiif/obj208/manifest.json
obj209,Ferranti Orion Page 10,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_10,,208,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj209/full/250,/0/default.jpg",/img/derivatives/iiif/obj209/manifest.json
obj210,Ferranti Orion Page 11,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_11,,209,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj210/full/250,/0/default.jpg",/img/derivatives/iiif/obj210/manifest.json
obj22,Bendix G15 Page 12,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_12,,21,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg",/img/derivatives/iiif/obj22/manifest.json
obj211,Ferranti Orion Page 12,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_12,,210,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj211/full/250,/0/default.jpg",/img/derivatives/iiif/obj211/manifest.json
obj212,Ferranti Orion Page 13,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_13,,211,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj212/full/250,/0/default.jpg",/img/derivatives/iiif/obj212/manifest.json
